1,AL,Alabama,280
2,AK,Alaska,0
4,AZ,Arizona,250
5,AR,Arkansas,140
6,CA,California,"5,940"
8,CO,Colorado,580
9,CT,Connecticut,640
10,DE,Delaware,50
11,DC,District of Columbia,240
12,FL,Florida,820
13,GA,Georgia,560
15,HI,Hawaii,180
16,ID,Idaho,60
17,IL,Illinois,"1,530"
18,IN,Indiana,460
19,IA,Iowa,180
20,KS,Kansas,280
21,KY,Kentucky,200
22,LA,Louisiana,200
23,ME,Maine,80
24,MD,Maryland,310
25,MA,Massachusetts,760
26,MI,Michigan,980
27,MN,Minnesota,690
28,MS,Mississippi,120
29,MO,Missouri,830
30,MT,Montana,0
31,NE,Nebraska,230
32,NV,Nevada,180
33,NH,New Hampshire,80
34,NJ,New Jersey,560
35,NM,New Mexico,70
36,NY,New York,"7,180"
37,NC,North Carolina,360
38,ND,North Dakota,0
39,OH,Ohio,"1,170"
40,OK,Oklahoma,130
41,OR,Oregon,600
42,PA,Pennsylvania,"1,250"
44,RI,Rhode Island,50
45,SC,South Carolina,200
46,SD,South Dakota,0
47,TN,Tennessee,330
48,TX,Texas,"1,900"
49,UT,Utah,240
50,VT,Vermont,80
51,VA,Virginia,740
53,WA,Washington,680
54,WV,West Virginia,50
55,WI,Wisconsin,610
56,WY,Wyoming,0
